name,screen_name,location,created_at,friends_count,followers_count,statuses_count,favourites_count
Donald J. Trump,realDonaldTrump,"New York, NY",Wed Mar 18 13:46:38 +0000 2009,42,11397769,33136,38
Trump Organization,Trump,"New York, NY",Wed Apr 13 16:51:54 +0000 2016,35,9954,43,125
Trump Golf,TrumpGolf,,Mon Feb 03 13:46:03 +0000 2014,200,8797,758,251
Tiffany Trump,TiffanyATrump,,Tue Feb 01 20:59:30 +0000 2011,79,63138,573,28
Laura Ingraham,IngrahamAngle,DC,Thu Jun 25 21:03:25 +0000 2009,289,851876,26523,71
Mike Pence,mike_pence,,Fri Feb 27 23:04:51 +0000 2009,1208,207552,4572,746
Official Team Trump,TeamTrump,USA,Mon May 09 14:15:10 +0000 2016,18,65833,2714,348
DRUDGE REPORT,DRUDGE_REPORT,US,Tue May 06 05:34:47 +0000 2008,2,999809,175278,0
Vanessa Trump,MrsVanessaTrump,,Fri Jan 27 13:10:13 +0000 2012,155,50517,2028,240
Lara Trump,LaraLeaTrump,New York City,Sat Sep 19 12:49:26 +0000 2009,342,60552,2275,2381
Sean Hannity,seanhannity,NYC,Thu May 21 17:41:12 +0000 2009,6717,1583206,32207,104
Fox Nation,foxnation,,Mon May 04 21:25:22 +0000 2009,413,251172,65444,56
Corey Lewandowski,CLewandowski_,"Manhattan, NY",Thu Nov 05 18:19:17 +0000 2015,57,120017,772,54
Ann Coulter,AnnCoulter,Los Angeles/NYC,Tue Sep 28 14:04:51 +0000 2010,599,968417,20603,18
Diamond and Silk®,DiamondandSilk,United States,Sat Dec 06 18:49:06 +0000 2014,39,123309,2943,956
KATRINA CAMPINS,KatrinaCampins,Peace Within,Fri Apr 24 04:57:12 +0000 2009,1865,270684,13103,1641
Katrina Pierson,KatrinaPierson,"New York, USA",Fri Mar 20 01:25:06 +0000 2009,2675,160607,38142,4159
Michael Cohen,MichaelCohen212,New York,Mon Jun 29 18:11:49 +0000 2009,98,77101,6528,5505
FOX & Friends,foxandfriends,New York City,Mon Jul 21 10:50:09 +0000 2008,2726,628817,49988,4542
MELANIA TRUMP,MELANIATRUMP,New York City,Tue Jan 26 01:48:43 +0000 2010,89,235779,1173,1
Geraldo Rivera,GeraldoRivera,New York City,Wed Feb 02 22:17:56 +0000 2011,541,100616,5109,503
Eric Bolling,ericbolling,                 NYC,Mon May 19 23:36:04 +0000 2008,403,419108,27882,8
Roma Downey,RealRomaDowney,Malibu,Wed Jun 22 23:14:47 +0000 2011,2039,140629,19544,6549
Mark Burnett,MarkBurnettTV,Los Angeles,Tue Jun 14 02:36:07 +0000 2011,509,158005,2562,26
Gary Player,garyplayer,South Africa,Thu Mar 26 19:40:53 +0000 2009,2473,282709,16826,174
Earvin Magic Johnson,MagicJohnson,Los Angeles,Mon Feb 07 23:29:07 +0000 2011,210,3190258,8298,8
Vince McMahon,VinceMcMahon,"Greenwich, Conn.",Tue Feb 26 18:06:09 +0000 2013,25,1489510,275,0
Dan Scavino Jr.,DanScavino,"Campaign Trail, USA",Thu Jun 28 02:45:39 +0000 2012,124,149680,8547,2657
Trump Waikiki,TrumpWaikiki,"Waikiki, Oahu",Tue Mar 02 20:58:47 +0000 2010,450,17173,1954,651
Trump National Doral,TrumpDoral,"Miami, Florida",Thu Jul 12 14:52:57 +0000 2012,1810,22956,6878,3380
Trump Charlotte,TrumpCharlotte,"Charlotte, NC",Mon Jul 30 16:45:19 +0000 2012,62,10881,1240,878
Trump Vegas Hotel,TrumpLasVegas,Las Vegas ,Thu Oct 15 01:07:17 +0000 2009,1284,62940,4040,897
Trump Chicago Hotel,TrumpChicago,"Chicago, IL",Thu Jun 18 03:07:26 +0000 2009,3607,35421,7385,4073
Trump Washington DC,TrumpGolfDC,"Sterling, VA",Sat Dec 15 18:03:09 +0000 2012,33,12617,386,2
Trump Los Angeles,TrumpGolfLA,"Los Angeles, CA",Tue Apr 07 22:21:34 +0000 2009,189,13841,1258,414
Eric Trump,EricTrump,,Mon May 11 21:42:30 +0000 2009,442,448205,4103,3290
Mika Brzezinski,morningmika,"New York, New York",Thu Dec 18 22:33:51 +0000 2008,516,232123,9470,187
Joe Scarborough,JoeNBC,Connecticut,Mon Feb 23 01:23:24 +0000 2009,398,498500,32872,51
Bill O'Reilly,oreillyfactor,"New York, NY, USA",Thu Mar 12 15:44:18 +0000 2009,47,1206440,10172,13
Greta Van Susteren,greta,"Washington, DC",Thu Aug 28 20:04:54 +0000 2008,1883,1060363,96955,483
Piers Morgan,piersmorgan,"London, Newick, LA. ",Tue Nov 16 09:37:44 +0000 2010,1249,5142076,88622,10
Donald Trump Jr.,DonaldJTrumpJr,,Mon May 11 21:18:33 +0000 2009,1045,637762,14775,2652
Ivanka Trump,IvankaTrump,"New York, NY",Tue Jun 30 22:32:03 +0000 2009,804,2043765,12795,1029
Trump Jupiter,TrumpJupiter,"Jupiter, FL",Thu May 19 16:36:40 +0000 2016,15,53,0,0
Trump Palm Beach,TrumpPalmBeach,"Palm Beach, FL",Thu Apr 14 13:53:26 +0000 2016,55,126,8,3
Trump Tower New York,TrumpTower,725 Fifth Avenue NYC,Thu Sep 20 14:47:13 +0000 2012,35,9635,16,1
Trump Winery,trumpwinery,"Charlottesville, Virginia, USA",Wed Aug 24 18:43:03 +0000 2011,324,16236,3986,5784
Trump Turnberry,TrumpTurnberry,"Turnberry, Ayrshire, Scotland",Sun Jul 05 21:31:28 +0000 2009,505,10901,4978,1170
Trump Bedminster,TrumpBedminster,"Bedminster, NJ",Wed May 27 17:23:23 +0000 2015,13,271,39,3
Trump Westchester,TrumpNationalNY,"Briarcliff Manor, New York",Wed Mar 13 21:04:05 +0000 2013,250,5705,383,14
Trump Scotland,TrumpScotland,"Aberdeenshire, Scotland",Fri Feb 01 15:46:56 +0000 2013,158,4290,999,552
Trump Doonbeg,TrumpDoonbeg,"Doonbeg, Co.Clare, Ireland",Wed Mar 10 11:16:45 +0000 2010,908,8103,2713,2918
Trump Hotel Panama,TrumpPanama,"Panama City, Panama",Fri Sep 17 05:17:57 +0000 2010,2272,18072,6643,813
Trump Toronto Hotel,TrumpToronto,"Toronto, Ontario, Canada",Thu Jan 13 23:23:14 +0000 2011,436,16346,9139,7361
Trump Hotels,TrumpHotels,Worldwide,Wed Aug 19 20:55:39 +0000 2009,4683,50176,14171,4632
Trump Philadelphia,TrumpGolfPhilly,"Pine Hill, NJ ",Tue Nov 01 16:11:46 +0000 2011,2041,960,302,0
Trump Colts Neck,TrumpColtsNeck,"Colts Neck, NJ",Thu Oct 21 23:01:40 +0000 2010,461,1199,1027,383
Trump Hudson Valley,TrumpGolfHV,"Hopewell Junction, NY",Mon Jun 23 15:27:13 +0000 2014,57,755,87,58
Trump Washington DC,TrumpDC,"Washington, DC",Mon Jan 27 22:07:16 +0000 2014,141,3601,506,220
Trump Int'l Realty,TrumpRealty,"New York, NY",Mon Nov 04 18:25:56 +0000 2013,115,5728,428,43
Trump SoHo,TrumpSoHo,New York City,Tue Feb 10 19:03:13 +0000 2009,1021,23812,9357,32
Trump New York,TrumpNewYork,"New York, NY",Mon Aug 30 18:53:30 +0000 2010,277,21425,1074,276
The Eric Trump Fdn,EricTrumpFdn,New York City,Fri Jun 11 16:01:38 +0000 2010,291,25851,954,597
Trump Ferry Point,TrumpFerryPoint,"New York, NY",Tue Sep 16 20:09:56 +0000 2014,460,21138,931,862
Trump Models,TrumpModels,New York,Thu Jan 26 15:26:47 +0000 2012,1331,16410,2990,88
Michael Breed,MichaelBreed,,Fri Jan 23 18:09:37 +0000 2009,245,34839,7901,38
Michael Breed Golf,MichaelBreedGA,"500 Hutchinson River Pkwy, Bronx, NY ",Fri May 29 21:23:24 +0000 2015,124,623,238,44
Brendan Murphy,BrendanAMurphy,"Doonbeg Golf Links, Ireland",Thu Jan 13 20:43:50 +0000 2011,1532,1517,2875,1549
Callaway Golf,CallawayGolf,"Carlsbad, CA",Fri Apr 11 21:27:26 +0000 2008,653,292161,17010,12286
John Daly,PGA_JohnDaly,,Mon Apr 13 20:17:58 +0000 2009,142452,492960,11833,1615
SI Golf+,SIGolfPlus,"New York, NY",Wed May 20 20:24:22 +0000 2009,400,77433,2177,18
Brad Parscale,parscale,"San Antonio, Tx",Thu Nov 27 18:47:32 +0000 2008,150,4480,1879,49
White Horse Balmedie,horsebalmedie,"Balmedie, Aberdeenshire",Mon Mar 04 19:53:24 +0000 2013,395,512,2040,1382
Nicole Milner Breen,livelasvegas,,Wed Feb 22 23:52:59 +0000 2012,1102,785,155,33
Debby Murphy,SMURFpga,,Wed May 18 21:12:04 +0000 2011,204,218,125,10
Carol Ramsay,CRTurnberry,Scotland,Fri Aug 19 15:46:32 +0000 2011,1415,404,588,429
Chad Middaugh,Cmiddaughgolf,"Miami, FL ",Sat Jun 20 12:53:35 +0000 2009,47,114,32,6
Josh,joshspragins,"Philadelphia, PA",Mon Mar 30 21:44:36 +0000 2009,536,543,1971,398
Mickael Damelincourt,mdamelincourt,,Sun May 16 02:41:09 +0000 2010,399,1135,3063,471
Eric R. Swary,Swary81,"Miami, Florida",Thu Aug 04 00:44:05 +0000 2011,311,719,3661,753
Hank's Yanks Golf,HanksYanksGolf,"Bronx, New York",Thu Mar 26 21:12:14 +0000 2015,161,93,82,37
Jeffrey Moser,JeffreyMoser,New Jersey,Thu Mar 12 12:02:24 +0000 2009,272,143,82,36
Andrew Murray,AMurrayGolf,Lymm,Mon Feb 14 11:06:52 +0000 2011,628,5634,15174,125
BradWorthington,worthy1961,,Tue Dec 27 01:43:30 +0000 2011,529,688,2522,2807
Loren David,THE_REAL_LD_89,"New York, NY",Thu Jun 09 00:38:03 +0000 2011,243,263,1154,602
Ann Lauer,AnnCLauer,,Wed Oct 26 17:26:49 +0000 2011,131,156,9,1
Brianna Ehland,briannaehland,Ubiquitous,Thu Apr 24 03:47:52 +0000 2014,100,43,0,0
